job_title,company_name,company_location,work_method,post_date,work_time
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,"Belo Horizonte, Minas Gerais, Brasil",Remoto,há 1 semana,Tempo integral · Assistente
Analista De Dados Crm,Grupo Selecionar,"São Paulo, São Paulo, Brasil",Remoto,há 1 mês,Tempo integral
Analista De Dados Crm,Grupo Selecionar,"São Paulo, São Paulo, Brasil",Remoto,há 2 meses,Tempo integral · Pleno-sênior
Mulheres em Dados | Engenharia de Dados,Itaú Unibanco,"São Paulo, Brasil",Remoto,há 4 semanas,Tempo integral · Pleno-sênior
Software Development Engineer I Intech BR,Amazon,"São Paulo, São Paulo, Brasil",Híbrido,há 5 dias,Tempo integral · Assistente
"Data Analyst (Statistics/Python/BI) (Bangkok-based, relocation provided)",Agoda,Belém e Região,Remoto,há 2 dias,Tempo integral
Python Software Programmer - Work from Home,Oowlish,"Rio de Janeiro, Brasil",Presencial,há 2 semanas,Tempo integral · Assistente
Technical Consultant,Innovatrics,"São Paulo, Brasil",Remoto,há 1 mês,Tempo integral · Assistente
Analista de Dados TI,Record TV,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
Analista de dados,Global Empregos,"Piracicaba, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Assistente
Junior Software Architect - McKinsey Digital,McKinsey & Company,"São Paulo, São Paulo, Brasil",Remoto,há 5 dias,Tempo integral · Assistente
"Software Development Engineer, INTech",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 5 dias,Tempo integral · Pleno-sênior
"Business Analyst (Bangkok Based, relocation provided)",Agoda,"Belo Horizonte, Minas Gerais, Brasil",Híbrido,há 5 dias,Tempo integral · Assistente
Business Analyst - Vaga exclusiva para PCD,Oracle,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
Engenheiro / Cientista de Dados,ArcelorMittal Sistemas,"Belo Horizonte, Minas Gerais, Brasil",Híbrido,há 2 dias,Tempo integral · Pleno-sênior
Data Analyst - Pleno,Incognia,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Pleno-sênior
Data Science (Presencial - Belo Horizonte),Coodesh,"Belo Horizonte, Minas Gerais, Brasil",Remoto,há 3 semanas,Tempo integral · Assistente
Banco de Talentos – Digital & Technology,PwC Brasil,"São Paulo, São Paulo, Brasil",Remoto,há 1 mês,Tempo integral · Assistente
Data Platform Engineer,Accenture Brasil,"São Paulo, São Paulo, Brasil",Presencial,há 1 mês,Estágio · Estágio
Software Development Engineer - eero,Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
"Senior Data Analyst, Partner Development – (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,"São Paulo, São Paulo, Brasil",Presencial,há 6 dias,Tempo integral · Pleno-sênior
Remote Python Developer Jobs,Turing.com,Brasil,Híbrido,há 6 dias,Tempo integral · Estágio
Analista Business Intelligence Pleno (PCD),Base Consultoria,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Pleno-sênior
ANALISTA DE DADOS,SPDM - Associação Paulista para o Desenvolvimento da Medicina,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral
Application Developer - Microsoft Analytics (Remoto),IBM,"Rio de Janeiro, Rio de Janeiro, Brasil",Presencial,há 4 dias,Tempo integral · Assistente
Remote Senior Data Scientist Jobs,Turing.com,Brasil,Híbrido,há 1 mês,Tempo integral · Assistente
"Analyst or Senior Analyst- Beds Network (Bangkok Based, relocation provided)",Agoda,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Assistente
Software Development Engineer - Agency,Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 2 semanas,Tempo integral · Pleno-sênior
Programa de Estágio 2022,Aquila Consultoria em Gestão,"Santa Catarina, Brasil",Remoto,há 3 dias,Tempo integral · Pleno-sênior
Engenheiro de Dados GCP,Leega,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral
Cientista de Dados Pleno,Porto,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral
Data Analytics Specialist Mid-Level,CI&T,Brasil,Presencial,há 2 semanas,Tempo integral
Remote Python Developer Jobs,Turing.com,Brasil,Remoto,há 2 semanas,Tempo integral
"Senior Data Analyst, Partner Development – (Statistics/ML/BI) (Bangkok-based, relocation provided)",Agoda,São Paulo e Região,Presencial,há 2 semanas,Tempo integral · Pleno-sênior
"Software Development Engineer, Intech",Amazon,"São Paulo, São Paulo, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
Especialista Analytics Engineer | Crédito,PicPay,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Assistente
Mid-Level Data Analyst | Trainiac,Gympass,"São Paulo, São Paulo, Brasil",Híbrido,há 2 horas,Tempo integral · Pleno-sênior
Banco de Talentos - Cientista de Dados,Dexco,"São Paulo, São Paulo, Brasil",Remoto,há 1 mês,Tempo integral · Assistente
GCP Data Engineer | Remote,Capgemini,São Paulo e Região,Presencial,há 1 semana,Tempo integral · Pleno-sênior
Data Technology Consultant,Microsoft,"Alagoas, Brasil",Remoto,há 5 dias,Tempo integral · Pleno-sênior
Remote Python Developer Jobs,Turing.com,Brasil,Presencial,há 6 dias,Tempo integral · Assistente
LiveOps Data Engineering - QuantumBlack Labs,"QuantumBlack, AI by McKinsey","São Paulo, São Paulo, Brasil",Híbrido,há 2 semanas,Tempo integral
"Analytics Specialist (Bangkok Based, relocation provided)",Agoda,"Manaus, Amazonas, Brasil",Remoto,há 3 semanas,Tempo integral · Pleno-sênior
ANALISTA DE DADOS JURÍDICOS,Simpar,"São Paulo, São Paulo, Brasil",Remoto,há 6 dias,Tempo integral · Assistente
Customer Experience | Data Analyst,Hurb,"Rio de Janeiro, Rio de Janeiro, Brasil",Híbrido,há 1 semana,Tempo integral · Assistente
"DE&I - Software Developer II , Finance Technology",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 2 semanas,Tempo integral · Assistente
"Software Development Engineer, Intech",Amazon,"São Paulo, São Paulo, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
Python Developer - Remote - Latin America,FullStack Labs,"Goiânia, Goiás, Brasil",Presencial,há 1 semana,Tempo integral · Pleno-sênior
Data Engineer - Online Job,Oowlish,"Recife, Pernambuco, Brasil",Presencial,há 6 dias,Tempo integral · Assistente
"Senior Data Analyst (Bangkok Based, relocation provided)",Agoda,São Paulo e Região,Híbrido,há 1 semana,Tempo integral
Remote Data Scientist Jobs,Turing.com,"Montenegro, Rio Grande do Sul, Brasil",Remoto,há 4 dias,Tempo integral · Assistente
Trabajos remotos de Científico de Dato,Turing.com,Brasil,Presencial,há 3 semanas,Tempo integral
"SAS Programmer, Real World Evidence",IQVIA,"São Paulo, São Paulo, Brasil",Remoto,há 5 dias,Tempo integral · Pleno-sênior
Data Technology Consultant,Microsoft,"Acre, Brasil",Presencial,há 5 dias,Tempo integral · Pleno-sênior
"Software Developer Engineer, INTech",Amazon,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Júnior
Python Developer - Remote - Latin America,FullStack Labs,"Manaus, Amazonas, Brasil",Híbrido,há 1 semana,Tempo integral · Pleno-sênior
"Analytics Specialist (Bangkok Based, relocation provided)",Agoda,"Brasília, Distrito Federal, Brasil",Presencial,há 1 semana,Tempo integral
System Test Analyst,hEDGEpoint Global Markets,"São Paulo, São Paulo, Brasil",Remoto,há 1 mês,Tempo integral · Pleno-sênior
Data Engineer - Online Job,Oowlish,"Brasília, Distrito Federal, Brasil",Remoto,há 1 semana,Tempo integral · Pleno-sênior
Engenheiro de Dados,EY,"São Paulo, São Paulo, Brasil",Presencial,há 3 semanas,Tempo integral · Pleno-sênior
"Software Developer Engineer, INTech",Amazon,"São Paulo, São Paulo, Brasil",Híbrido,há 6 dias,Tempo integral · Assistente
