,job_title,company_name,company_location,work_method,role,bachelor,masters,phd,no_diploma,python,sql,nosql,java,julia,matlab,tensorflow,tableau,powerbi,qlikview,excel,cloud,work_type
763,Business Analyst,Kavak.com,"São Paulo, São Paulo, Brasil",Remoto,Analista BI,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,Tempo integral
764,Cientista de Dados Sr (vaga afirmativa para Mulheres),Alelo Brasil,Brasil,Remoto,Cientista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Tempo integral
766,Engenheiro de dados,FPF Tech,"Manaus, Amazonas, Brasil",Remoto,Engenheiro de Dados,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
767,Analista Marketplace Sênior (foco em Dados),Via,"São Paulo, São Paulo, Brasil",Remoto,Analista de Dados,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,Tempo integral
768,Business Analyst,Kavak.com,"São Paulo, São Paulo, Brasil",Remoto,Analista BI,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,Tempo integral
769,PESSOA CONSULTORA EM CIÊNCIA DE DADOS (Remoto),Localiza,"Belo Horizonte, Minas Gerais, Brasil",Presencial,Cientista de Dados,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
770,ANALISTA DE DADOS,Dynamox,"Florianópolis, Santa Catarina, Brasil",Presencial,Analista de Dados,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Tempo integral
771,Analista Júnior de Dados- Mercado Envios,Mercado Livre,"Barueri, São Paulo, Brasil",Presencial,Analista de Dados,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
775,PESSOA ENGENHEIRA DE DADOS PLENO,NAVA - Technology for Business,"São Paulo, São Paulo, Brasil",Presencial,Cientista de Dados,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
776,Pessoa Engenheira de Dados Júnior | Vaga Afirmativa para Pessoas com Deficiência,Jusbrasil,"São Paulo, São Paulo, Brasil",Remoto,Cientista de Dados,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,Tempo integral
777,Trabajos remotos de Ingeniero Machine Learning,Turing.com,América Latina,Remoto,Cientista de Dados,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,Tempo integral
778,[Banco de Talentos] Analytics,Solvis,"Curitiba, Paraná, Brasil",Presencial,Analista de Dados,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tempo integral
779,Engenheiro de Dados,Meta,"São Paulo, São Paulo, Brasil",Remoto,Engenheiro de Dados,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,Tempo integral
